时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-6-5 18:15:48:857	WT901BLE67(E9:8A:1A:DD:D5:28)	0.493	0.857	-0.031	0.122	-0.244	0.610	92.01	-30.31	-139.91	-60.250	9.125	53.150	0.40656	0.06677	-0.71259	-0.56778	-2.4	10080.1.21	100
2025-6-5 18:15:48:869	WTSDCL(FE:D5:86:66:1D:7C)	-0.233	-0.958	0.106	1.587	2.563	1.648	-84.65	14.92	97.67	88.967	26.292	-18.158	-0.41733	0.51291	0.43750	-0.60925	7.1	10092.1.12	100
2025-6-5 18:15:48:911	WT901BLE67(C1:AA:08:9C:D1:14)	-0.489	0.867	-0.065	0.366	-0.488	0.183	94.85	31.12	-7.28	14.000	-44.750	-72.675	0.64243	0.72015	0.12729	-0.22876	-3.3	10080.1.21	100
2025-6-5 18:15:48:960	WTSDCL(FE:D5:86:66:1D:7C)	-0.248	-0.975	0.101	1.953	6.348	1.282	-84.54	15.10	97.14	88.967	26.292	-18.158	-0.41733	0.51291	0.43750	-0.60925	7.1	10092.1.12	100
2025-6-5 18:15:48:982	WT901BLE67(E9:8A:1A:DD:D5:28)	0.475	0.863	-0.026	0.122	0.000	0.061	92.01	-30.29	-139.89	-60.250	9.125	53.150	0.40656	0.06677	-0.71259	-0.56778	-2.4	10080.1.21	100
2025-6-5 18:15:49:36	WT901BLE67(C1:AA:08:9C:D1:14)	-0.480	0.853	-0.058	0.610	-0.122	0.000	94.81	31.09	-7.31	14.000	-44.750	-72.675	0.64243	0.72015	0.12729	-0.22876	-3.3	10080.1.21	100
2025-6-5 18:15:49:68	WT901BLE67(E9:8A:1A:DD:D5:28)	0.526	0.867	-0.027	0.183	-0.183	0.000	92.01	-30.29	-139.89	-60.250	9.125	53.150	0.40631	0.06656	-0.71237	-0.56821	-2.4	10080.1.21	100
2025-6-5 18:15:49:80	WTSDCL(FE:D5:86:66:1D:7C)	-0.231	-0.986	0.090	0.793	5.676	-1.465	-84.54	15.07	96.53	88.183	27.383	-18.800	-0.41733	0.51291	0.43750	-0.60925	7.1	10092.1.12	100
2025-6-5 18:15:49:121	WT901BLE67(C1:AA:08:9C:D1:14)	-0.476	0.892	-0.049	0.671	0.000	-0.732	94.80	31.05	-7.31	15.500	-42.250	-74.858	0.64243	0.72015	0.12729	-0.22876	-3.3	10080.1.21	100
2025-6-5 18:15:49:173	WTSDCL(FE:D5:86:66:1D:7C)	-0.238	-0.972	0.093	-0.916	-1.465	3.906	-84.56	15.02	96.38	88.183	27.383	-18.800	-0.41733	0.51291	0.43750	-0.60925	7.1	10092.1.12	100
2025-6-5 18:15:49:189	WT901BLE67(E9:8A:1A:DD:D5:28)	0.504	0.845	-0.035	0.244	0.305	-0.183	91.97	-30.30	-139.87	-60.250	9.125	53.150	0.40631	0.06656	-0.71237	-0.56821	-2.4	10080.1.21	100
